siruta,primar,id_partid_principal,nume_partid_principal,linkp
28077,TODA SILVIU - MIRON,31,PARTIDUL NAȚIONAL LIBERAL,
27846,OLEA VASILE - RADU,31,PARTIDUL NAȚIONAL LIBERAL,
28941,MOCIORAN TEODOR,15,PARTIDUL DEMOCRAT LIBERAL,
30568,CURTEAN DORIN,57,PARTIDUL POPORULUI - DAN DIACONESCU,
30844,BONCA FLORIN,31,PARTIDUL NAȚIONAL LIBERAL,
31262,TIVADAR NICOLAE,62,UNIUNEA SOCIAL LIBERALĂ,
31379,ALBERT AUGUSTIN,15,PARTIDUL DEMOCRAT LIBERAL,
31976,COSMA DOREL FLORIAN,62,UNIUNEA SOCIAL LIBERALĂ,
32045,BEKE VASILE,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
55446,MOROȘAN MIRCEA,15,PARTIDUL DEMOCRAT LIBERAL,
56461,TRIPON VASILE,31,PARTIDUL NAȚIONAL LIBERAL,
57163,ABRUDAN RADU FLORIN,15,PARTIDUL DEMOCRAT LIBERAL,
58464,UNGUR PETRU,61,PARTIDUL SOCIAL DEMOCRAT,
59041,BOCA GHEORGHE CONSTANTIN,15,PARTIDUL DEMOCRAT LIBERAL,
59283,CUC GHEORGHE,15,PARTIDUL DEMOCRAT LIBERAL,
59434,PÓKA ANDREI - GHEORGHE,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
60169,MANEA DORIN CONSTANTIN,15,PARTIDUL DEMOCRAT LIBERAL,
140280,SARCA AUREL,62,UNIUNEA SOCIAL LIBERALĂ,
107234,MITRE DORIN FLAVIU,62,UNIUNEA SOCIAL LIBERALĂ,
136642,MITRAȘCA VASILE,62,UNIUNEA SOCIAL LIBERALĂ,
136526,KOVÁCS EUGEN,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
136713,GEREB NICOLAE,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
143021,BREDA LAJOS,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
136964,BARTOK - GURZĂU IOAN,62,UNIUNEA SOCIAL LIBERALĂ,
137032,KISS ZOLTÁN,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
137292,ROKA MARIUS ANDREI,57,PARTIDUL POPORULUI - DAN DIACONESCU,
137363,JURCHIȘ GHEORGHE,62,UNIUNEA SOCIAL LIBERALĂ,
137443,BALOGH DANIEL - BÉLA,62,UNIUNEA SOCIAL LIBERALĂ,
137611,GHETINA MIHAI,62,UNIUNEA SOCIAL LIBERALĂ,
138734,ROTAR MARINEL,15,PARTIDUL DEMOCRAT LIBERAL,
138208,DAVID GHEORGHE,62,UNIUNEA SOCIAL LIBERALĂ,
138431,NAGY IOSIF,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
138770,FERENCZ LEVENTE - ZOLTAN,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
138805,MARIAN GHEORGHE,62,UNIUNEA SOCIAL LIBERALĂ,
