coldep_code,jud_lbl,nume,partid_avb,id_partid,partid,membru_pana,activ_flag
TM3,TIMIS,Suciu Matei ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
TM4,TIMIS,Sârbu Ilie ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
TR1,TELEORMAN,Dumitrescu Florinel ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
TR2,TELEORMAN,Antonescu George Crin Laurenţiu ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
TR3,TELEORMAN,Stuparu Timotei ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
VL1,VALCEA,Butnaru Florinel ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
VL2,VALCEA,Niţu Remus-Daniel ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
VL3,VALCEA,Cotescu Marin-Adrănel ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
VN1,VRANCEA,Filip Petru ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
VN2,VRANCEA,Dumitrescu Cristian-Sorin ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
VS1,VASLUI,Silistru Doina ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
VS2,VASLUI,Creţu Gabriela ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
VS3,VASLUI,Tătaru Nelu ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
